,Byte,Action,Actuator,Module,Ejecuta,Direccion,Descripcion,
64,0x40,Start,In,Machine,StartCycle(),Recibe,Arranca lote / ciclo TCM,
65,0x41,Stop,In,Machine,StopCycle(),Recibe,Detiene ciclo / abort,
66,0x42,Reset,In,Machine,ResetMachine(),Recibe,Limpia Error/Stop → Idle,
67,0x43,Init,Estatus,Machine,InitState(),Recibey manda,Estoy iniciando,
68,0x44,Idle,Estatus,Machine,IdleState(),Recibey manda,Estoy esperando,
69,0x45,Busy,Estatus,Machine,BusyState(),Recibey manda,Ciclo / lote activo,
70,0x46,Error,Estatus,Machine,ErrorState(),Recibey manda,Tengo un problema,
71,0x47,Stop,Estatus,Machine,StoprState(),Recibey manda,Me detuvieron,
72,0x48,ReturnStop,Estatus,Machine,ReturnState(),Recibey manda,Completando tras stop,
73,0x49,Materialist,Estatus,Machine,Materialist(),Recibey manda,Modo materialista máquina,
74,0x4A,LenghtOK (R),Feeder,Motion,LenghtOK_R(),Manda,Target reached or in tolerance — lado R,
75,0x4B,LenghtNG (R),Feeder,Motion,LenghtNG_R(),Manda,"Target not reached, out on tolerances — lado R",
76,0x4C,Trigger Tfeed,In,PreFeeder,Trigger(),Recibe,Disparo Tfeed L+R — pendiente,
# 0x4D+ errores de ciclo (E010/E011/E020/E030…) — TBD
